BuySignal,SellSignal,Description
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
True,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
True,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
True,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
True,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
True,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
True,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,True,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
True,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
False,False,MACD crossover confirmation with RSI filtering.
